"","geodis","category","bray_all","category1"
"340",18.55771495,"Local",0.751383399209486,"Local"
"341",18.72444021,"Local",0.8,"Local"
"342",19.74032693,"Local",0.794466403162055,"Local"
"343",23.96678932,"Local",0.803162055335968,"Local"
"344",37.01566047,"Local",0.890513833992095,"Local"
"345",46.39346531,"Local",0.677470355731225,"Local"
"346",41.75523595,"Local",0.808300395256917,"Local"
"347",41.75736336,"Local",0.763241106719368,"Local"
"348",41.83172625,"Local",0.858498023715415,"Local"
"349",42.29621111,"Local",0.791699604743083,"Local"
"350",44.42631437,"Local",0.824505928853755,"Local"
"351",52.62561917,"Local",0.909881422924901,"Local"
"352",88.14870127,"Local",0.818577075098814,"Local"
"353",88.14970904,"Local",0.753359683794466,"Local"
"354",88.18496032,"Local",0.837154150197629,"Local"
"355",88.40624409,"Local",0.73596837944664,"Local"
"356",89.44492625,"Local",0.810276679841897,"Local"
"357",93.78787619,"Local",0.900790513833992,"Local"
"358",0.421500854,"Local",0.536363636363636,"Local"
"359",2.528537309,"Local",0.772332015810277,"Local"
"360",6.743078035,"Local",0.692094861660079,"Local"
"361",15.17215949,"Local",0.661264822134387,"Local"
"362",32.03032239,"Local",0.87905138339921,"Local"
"363",2.107036456,"Local",0.681422924901186,"Local"
"364",6.321577181,"Local",0.633201581027668,"Local"
"365",14.75065863,"Local",0.529249011857708,"Local"
"366",31.60882154,"Local",0.860079051383399,"Local"
"367",4.214540726,"Local",0.758893280632411,"Local"
"368",12.64362218,"Local",0.710276679841897,"Local"
"369",29.50178508,"Local",0.851778656126482,"Local"
"370",8.429081451,"Local",0.622529644268775,"Local"
"371",25.28724435,"Local",0.911067193675889,"Local"
"372",16.8581629,"Local",0.890513833992095,"Local"
"373",5.794194714,"Local",0.275889328063241,"Local"
"374",40.57050474,"Local",0.311067193675889,"Local"
"375",86.93520135,"Local",0.272332015810277,"Local"
"376",1.158838946,"Local",0.226877470355731,"Local"
"377",1.258024575,"Local",0.272727272727273,"Local"
"378",3.157462255,"Local",0.300395256916996,"Local"
"379",7.917936713,"Local",0.335573122529644,"Local"
"380",17.661851,"Local",0.296442687747036,"Local"
"381",37.22406888,"Local",0.262450592885375,"Local"
"382",34.77631003,"Local",0.266798418972332,"Local"
"383",81.14100663,"Local",0.251383399209486,"Local"
"384",6.953033661,"Local",0.274703557312253,"Local"
"385",6.970250756,"Local",0.324110671936759,"Local"
"386",7.54793689,"Local",0.268774703557312,"Local"
"387",10.47356629,"Local",0.281422924901186,"Local"
"388",18.94579782,"Local",0.235573122529644,"Local"
"389",37.8501694,"Local",0.229644268774704,"Local"
"390",46.36469661,"Local",0.259288537549407,"Local"
"391",41.72934369,"Local",0.330434782608696,"Local"
"392",41.73221592,"Local",0.366403162055336,"Local"
"393",41.83258159,"Local",0.162055335968379,"Local"
